id,task_id,name,worker_id,task_duration
d4e825a0d13f41ce9611415f7b567a4f,10686,Image Labelling : Explicit Treatment,24432,24.665
72dd6177b49c478e90e48c3fbe995f30,10686,Image Labelling : Explicit Treatment,9621,3.163
d863c49c8ebe47aebc3b3a8b77b4bac5,10686,Image Labelling : Explicit Treatment,9621,27.662
0f5d1fff79484025bfc41b4e0f2be477,10686,Image Labelling : Explicit Treatment,4884,20.656
196c7ed2c04e4b24909e4dd301ba4ad4,10686,Image Labelling : Explicit Treatment,4884,14.174
eb05eb9596d648e28321773730ca6df2,10686,Image Labelling : Explicit Treatment,41388,23.908
d8136f522cda4b54b9421771a70dec0a,10686,Image Labelling : Explicit Treatment,41388,10.472
16c3930c749f44b2918f43d10ba85cda,10686,Image Labelling : Explicit Treatment,4884,85.545
20a62b9a1eb846eab808f55605d68d58,10686,Image Labelling : Explicit Treatment,4884,36.313
2b7d755d39874767b6f3689eab72e967,10686,Image Labelling : Explicit Treatment,4884,7.636
50aa903e9f9a4c22b5a07bdbc1ca093a,10686,Image Labelling : Explicit Treatment,4884,9.979
f5f42591333e4d6fafe35b1f636cdc30,10686,Image Labelling : Explicit Treatment,2318,12.539
ebd0eae28d3146818935ed0b5f29ae08,10686,Image Labelling : Explicit Treatment,28426,5.405
ccc274e0f20140afb36dcff7be340945,10686,Image Labelling : Explicit Treatment,9621,8.449
b73fa1778d5242b6a7f43791b0bc883e,10686,Image Labelling : Explicit Treatment,41388,13.796
b77dfac08ae44b5ba3521cadab31b670,10686,Image Labelling : Explicit Treatment,41388,15.071
6103ce9c1b874234ad6c416ac17a7db2,10686,Image Labelling : Explicit Treatment,2318,11.447
696b0ea68a92428c8977ead2df393229,10686,Image Labelling : Explicit Treatment,34810,3.04
69970aa0af4649ec8dcb0ce408212b3a,10686,Image Labelling : Explicit Treatment,34810,7.7
675c950e93f64a2b9969fc1428c419c5,10686,Image Labelling : Explicit Treatment,28426,5.167
69898c8102b24a08b857b091177dd2d3,10686,Image Labelling : Explicit Treatment,28426,3.751
776bd99151084765b771193bd1d33993,10686,Image Labelling : Explicit Treatment,28426,7.53
7d5094502b084a37bbaa28a4587524b4,10686,Image Labelling : Explicit Treatment,28426,5.49
0559cb7dcc50475fbcc1b71444cb8776,10686,Image Labelling : Explicit Treatment,35322,56.407
85fcad2c2c8f4545b63fc73529c792dd,10686,Image Labelling : Explicit Treatment,35322,17.818
cfe3fb239d94488ebb9f39ef783e3bfa,10686,Image Labelling : Explicit Treatment,35322,137.969
5d41eb5730d1410a991213bcedba2e5b,10686,Image Labelling : Explicit Treatment,41630,8.746
976219db126349eca106a1ab137c5831,10686,Image Labelling : Explicit Treatment,41498,31.381
f9efac3ba089447c851c42c1d0aaa891,10686,Image Labelling : Explicit Treatment,41498,11.391
59c3e4c81fcb485fa254b9c496c814f2,10686,Image Labelling : Explicit Treatment,42567,13.831
7fdfe7598480479a9cdeeb35dfdc8c26,10686,Image Labelling : Explicit Treatment,42567,4.06
00310048edc14dad895ba9f6ffdd31f4,10686,Image Labelling : Explicit Treatment,42567,4.502
2b5306264c3347e0b1d0cc02bd9aeb79,10686,Image Labelling : Explicit Treatment,42567,21.176
d8429ac87c6a48d49351a39ab6452460,10686,Image Labelling : Explicit Treatment,42567,5.634
f861870f2cb240d19f81d04d902f4490,10686,Image Labelling : Explicit Treatment,42567,7.287
e70e87a192204593aeae34858a1bb70a,10686,Image Labelling : Explicit Treatment,11748,3.921
c24a05a0d36b4076b33373e8151df133,10686,Image Labelling : Explicit Treatment,28872,5.295
947a0889cfaf43729bf560f4b276e271,10686,Image Labelling : Explicit Treatment,11757,3.116
5ab38ffaea304620a3a4d4d10d405bce,10686,Image Labelling : Explicit Treatment,2270,3.146
ca9180e6e50d42e6aecd349c0726f544,10686,Image Labelling : Explicit Treatment,2270,3.058
